,Apple___Apple_scab,Apple___Black_rot,Apple___Cedar_apple_rust,Apple___healthy,Blueberry___healthy,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour)___healthy,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___healthy,Grape___Black_rot,Grape___Esca_(Black_Measles),Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___healthy,Orange___Haunglongbing_(Citrus_greening),Peach___Bacterial_spot,Peach___healthy,"Pepper,_bell___Bacterial_spot","Pepper,_bell___healthy",Potato___Early_blight,Potato___Late_blight,Potato___healthy,Raspberry___healthy,Soybean___healthy,Squash___Powdery_mildew,Strawberry___Leaf_scorch,Strawberry___healthy,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Grape___Esca_(Black_Measles),7,5,1,2,1,0,0,0,4,0,0,14,97,17,1,0,4,0,3,2,3,2,5,1,7,4,4,0,1,0,2,0,1,4,4,1,0,11
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,2,0,1,0,0,0,0,3,0,0,1,10,89,2,0,0,0,0,4,7,3,2,3,3,5,14,7,0,1,1,0,1,0,1,0,0,1
Grape___healthy,2,2,4,0,0,0,0,0,2,0,0,4,4,4,16,1,0,0,1,0,0,0,0,0,9,2,4,4,3,0,0,0,1,0,0,0,0,0
Orange___Haunglongbing_(Citrus_greening),2,12,100,1,12,24,19,0,0,0,0,5,0,0,5,466,12,0,6,11,2,0,1,0,17,0,0,7,45,3,9,2,1,8,8,30,1,17
Peach___Bacterial_spot,2,0,4,11,10,2,11,2,18,2,1,0,0,0,1,10,169,13,3,3,1,5,1,0,6,3,1,0,10,0,27,15,2,3,1,2,4,2
Peach___healthy,0,0,0,2,2,1,0,0,1,1,0,0,0,0,0,0,20,11,0,1,0,0,0,0,0,0,0,0,0,1,4,1,2,3,0,0,2,2
"Pepper,_bell___Bacterial_spot",0,0,0,1,0,4,10,1,5,0,0,4,2,0,0,3,4,1,37,11,5,7,2,1,7,0,0,1,10,7,6,1,3,1,6,3,0,7
"Pepper,_bell___healthy",5,2,2,7,1,4,8,0,1,0,0,13,2,3,1,6,11,0,18,43,2,4,2,3,23,1,2,0,24,5,5,1,12,0,5,4,0,2
Potato___Early_blight,3,1,0,6,0,0,1,0,5,0,0,1,1,1,1,1,1,0,3,4,44,16,3,2,27,4,12,3,1,2,0,0,6,0,1,0,0,0
Potato___Late_blight,3,5,1,6,1,0,2,0,2,0,0,1,8,5,0,1,2,1,7,9,8,36,6,1,16,0,4,1,1,0,6,0,2,7,5,2,0,1
Potato___healthy,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,3,0,2,0,4,1,1,0,0,0,1,0,3,0,0,1
Raspberry___healthy,1,1,0,2,0,0,1,0,0,0,0,0,3,4,1,0,1,0,0,0,1,6,2,12,8,0,3,1,0,0,1,0,1,0,1,0,0,6
Soybean___healthy,10,49,19,58,11,1,28,0,4,0,0,7,4,13,34,7,6,0,7,21,33,14,3,16,333,6,5,15,14,0,7,1,5,2,1,1,0,28
Squash___Powdery_mildew,1,0,0,5,1,0,3,2,26,7,13,0,1,2,1,0,7,0,0,0,2,0,0,0,6,187,10,1,0,0,0,0,0,0,0,0,0,0
Strawberry___Leaf_scorch,3,5,0,3,0,0,4,1,16,3,7,2,3,9,3,0,5,0,1,0,5,7,11,5,9,10,34,14,2,0,1,0,1,0,1,0,0,1
Strawberry___healthy,0,2,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,1,0,2,3,0,7,40,0,0,0,0,2,0,0,0,0,1
Tomato___Bacterial_spot,5,8,14,1,3,3,7,0,1,0,1,9,2,1,0,26,14,0,16,24,1,3,4,0,9,0,3,0,106,6,4,2,7,0,12,22,3,2
Tomato___Early_blight,1,1,0,0,0,1,1,0,8,0,0,1,0,0,0,1,6,4,7,2,2,2,1,0,3,4,1,0,13,20,11,6,6,10,3,22,10,3
Tomato___Late_blight,1,0,7,10,7,4,6,0,16,2,6,0,0,1,1,4,22,4,2,6,2,11,2,0,8,1,1,3,9,11,77,10,11,4,5,8,22,2
Tomato___Leaf_Mold,0,1,1,8,4,1,4,1,5,1,1,0,0,0,0,0,13,3,2,3,0,1,0,0,3,3,0,0,4,11,17,32,1,3,0,8,12,0
Tomato___Septoria_leaf_spot,2,3,11,10,4,0,6,0,6,2,0,4,5,0,0,10,7,0,9,10,8,10,3,3,15,1,4,8,8,13,14,5,10,19,10,7,34,5
Tomato___Spider_mites Two-spotted_spider_mite,0,2,2,1,11,0,0,0,1,0,0,0,9,0,0,0,4,3,0,0,0,4,0,0,0,0,0,0,1,5,0,5,4,129,18,3,34,15
Tomato___Target_Spot,1,6,0,2,16,0,0,0,0,0,0,8,3,4,0,0,3,2,8,9,2,9,5,3,4,0,0,0,5,6,0,0,1,22,59,3,1,29
Tomato___Tomato_Yellow_Leaf_Curl_Virus,2,5,6,0,8,34,2,0,0,0,0,2,3,0,1,26,7,3,16,7,0,2,2,0,2,0,4,0,27,46,14,11,7,42,13,441,67,4
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,4,2,0,5,0,1,40,0
Tomato___healthy,2,5,8,13,16,0,1,0,0,0,1,1,5,1,2,1,1,1,2,2,2,1,5,4,5,0,0,5,2,2,5,3,4,28,34,2,1,74
