,Apple___Apple_scab,Apple___Black_rot,Apple___Cedar_apple_rust,Apple___healthy,Blueberry___healthy,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour)___healthy,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___healthy,Grape___Black_rot,Grape___Esca_(Black_Measles),Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___healthy,Orange___Haunglongbing_(Citrus_greening),Peach___Bacterial_spot,Peach___healthy,"Pepper,_bell___Bacterial_spot","Pepper,_bell___healthy",Potato___Early_blight,Potato___Late_blight,Potato___healthy,Raspberry___healthy,Soybean___healthy,Squash___Powdery_mildew,Strawberry___Leaf_scorch,Strawberry___healthy,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Squash___Powdery_mildew,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,268,0,0,0,0,2,0,0,0,0,0,0,2
Strawberry___Leaf_scorch,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,1,0,0,1,2,0,0,0,0,1,140,7,0,0,6,0,2,0,0,0,0,0
Strawberry___healthy,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,0,0,0,3,0,0,0,0,0
Tomato___Bacterial_spot,1,0,1,2,0,4,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,2,0,0,0,293,1,0,0,0,0,0,8,0,1
Tomato___Early_blight,0,0,0,8,4,2,0,0,0,1,0,0,0,0,0,1,5,0,2,1,0,0,0,0,2,1,0,0,5,81,15,1,1,3,11,5,0,1
Tomato___Late_blight,0,1,1,5,1,1,0,1,3,3,0,0,0,0,0,1,6,0,2,0,4,7,0,0,2,1,2,0,1,9,219,5,5,0,1,2,0,3
Tomato___Leaf_Mold,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,2,0,0,0,0,0,0,0,1,9,104,6,3,0,0,1,0
Tomato___Septoria_leaf_spot,2,3,1,1,4,0,2,0,0,0,0,0,0,1,2,1,1,0,1,7,4,4,1,1,11,0,3,0,2,1,10,2,193,2,2,1,1,2
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,2,2,1,0,3,218,14,3,2,0
Tomato___Target_Spot,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,1,0,0,0,3,5,1,0,3,24,159,1,1,4
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,2,2,1,0,0,0,0,0,0,1,1,0,0,4,0,0,3,0,0,2,0,1,0,0,0,1,15,2,1,2,1,4,1,760,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,1,0,45,0
Tomato___healthy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,2,1,1,0,0,2,0,0,225
